date,category,sales,transactions,avg_basket_size,day_of_week,month,day_name,quarter,week_of_year,day_of_month,year,is_weekend,is_month_end,is_month_start,is_festival_season,is_summer,is_monsoon,month_sin,month_cos,dow_sin,dow_cos,sales_lag_7d,sales_lag_14d,sales_lag_30d,sales_rolling_7d,sales_rolling_30d,is_holiday,is_pre_holiday,is_post_holiday,days_to_next_holiday,holiday_type,holiday_lift_score,temperature,humidity,is_rainy,rain_impact_score,high_humidity,heat_index,temp_category,temp_rolling_3d,humidity_rolling_3d
2025-04-22,Clothing,25147.43,21,1122.56,1,4,Tuesday,2,17,22,2025,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,,,,25147.43,25147.43,0,0,0,254,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-23,Clothing,29526.99,34,1015.41,2,4,Wednesday,2,17,23,2025,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,,,,27337.21,27337.21,0,0,0,253,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-24,Clothing,24312.39,22,1128.56,3,4,Thursday,2,17,24,2025,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,,,,26328.936666666665,26328.936666666665,0,0,0,252,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-25,Clothing,22917.28,23,794.2,4,4,Friday,2,17,25,2025,0,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,,,,25476.0225,25476.0225,0,0,0,251,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-26,Clothing,33647.77,33,749.72,5,4,Saturday,2,17,26,2025,1,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,,,,27110.371999999996,27110.371999999996,0,0,0,250,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-27,Clothing,30462.7,26,1033.01,6,4,Sunday,2,17,27,2025,1,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,,,,27669.093333333334,27669.093333333334,0,0,0,249,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-28,Clothing,30223.31,34,1303.34,0,4,Monday,2,18,28,2025,0,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,,,,28033.981428571427,28033.981428571427,0,0,0,248,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-29,Clothing,26032.6,22,1065.14,1,4,Tuesday,2,18,29,2025,0,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,25147.43,,,28160.434285714287,27783.80875,0,0,0,247,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-04-30,Clothing,25936.99,28,2161.42,2,4,Wednesday,2,18,30,2025,0,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,29526.99,,,27647.57714285714,27578.606666666667,0,0,0,246,None,0.0,,,0.0,0.0,0.0,,warm,,
2025-05-01,Clothing,24325.37,23,1351.7,3,5,Thursday,2,18,1,2025,0,0,1,0,1,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,24312.39,,,27649.43142857143,27253.283000000003,0,0,0,245,None,0.0,,,0.0,0.0,0.0,,warm,,
