date,category,sales,transactions,avg_basket_size,day_of_week,month
2025-04-22,Electronics,40149.93,35,811.53,1,4
2025-04-22,Clothing,25147.43,21,1122.56,1,4
2025-04-22,Groceries,22626.34,24,865.12,1,4
2025-04-22,Footwear,19589.15,22,1885.73,1,4
2025-04-22,HomeDecor,12451.45,11,765.18,1,4
2025-04-23,Electronics,37354.43,36,660.39,2,4
2025-04-23,Clothing,29526.99,34,1015.41,2,4
2025-04-23,Groceries,22880.8,21,1743.84,2,4
2025-04-23,Footwear,16201.89,14,977.79,2,4
2025-04-23,HomeDecor,13441.76,11,1932.52,2,4
2025-04-24,Electronics,36477.43,35,1018.84,3,4
2025-04-24,Clothing,24312.39,22,1128.56,3,4
2025-04-24,Groceries,21764.17,27,2041.73,3,4
2025-04-24,Footwear,13747.42,15,1926.46,3,4
2025-04-24,HomeDecor,10550.73,10,1127.96,3,4
2025-04-25,Electronics,36099.25,39,2418.7,4,4
2025-04-25,Clothing,22917.28,23,794.2,4,4
2025-04-25,Groceries,21917.78,22,783.76,4,4
2025-04-25,Footwear,15456.36,15,1747.08,4,4
2025-04-25,HomeDecor,10949.31,13,1986.49,4,4
2025-04-26,Electronics,59205.74,55,837.17,5,4
2025-04-26,Clothing,33647.77,33,749.72,5,4
2025-04-26,Groceries,28881.22,30,2175.87,5,4
2025-04-26,Footwear,19680.2,17,2282.36,5,4
2025-04-26,HomeDecor,16275.48,16,1696.97,5,4
2025-04-27,Electronics,52210.28,45,732.15,6,4
2025-04-27,Clothing,30462.7,26,1033.01,6,4
2025-04-27,Groceries,29765.28,31,2471.92,6,4
2025-04-27,Footwear,21571.53,23,2246.32,6,4
2025-04-27,HomeDecor,16710.42,16,1128.15,6,4
2025-04-28,Electronics,35948.47,31,2184.81,0,4
2025-04-28,Clothing,30223.31,34,1303.34,0,4
2025-04-28,Groceries,21221.32,23,1873.33,0,4
2025-04-28,Footwear,15201.89,13,2379.64,0,4
2025-04-28,HomeDecor,13798.74,12,735.66,0,4
2025-04-29,Electronics,33580.27,29,925.16,1,4
2025-04-29,Clothing,26032.6,22,1065.14,1,4
2025-04-29,Groceries,17085.7,16,1320.97,1,4
2025-04-29,Footwear,14742.08,13,1907.51,1,4
2025-04-29,HomeDecor,13001.0,14,1900.77,1,4
2025-04-30,Electronics,41074.63,34,2074.4,2,4
2025-04-30,Clothing,25936.99,28,2161.42,2,4
2025-04-30,Groceries,21004.25,21,1362.21,2,4
2025-04-30,Footwear,16488.12,19,1000.87,2,4
2025-04-30,HomeDecor,10864.88,9,2265.1,2,4
2025-05-01,Electronics,35496.6,36,1003.99,3,5
2025-05-01,Clothing,24325.37,23,1351.7,3,5
